method,number,mean_reward,std_reward,agreement_rate,ratio_self_mean,ratio_welfare_mean,ratio_nash_mean,ratio_rcoop_mean
base,0,50.12,31.827750694727303,0.76,0.5012,0.6551004901960784,0.5407247619047619,0.5012
self_only,560,55.14,33.153329626239994,0.8,0.5514,0.6960196078431372,0.5642149206349206,0.5514
fair_only,560,61.62,23.669398136903805,0.92,0.6162,0.8339534313725491,0.7234805714285715,0.6162
all_equal,620,64.97,22.733462255504527,0.94,0.6496999999999999,0.8273308823529412,0.6625268253968254,0.6496999999999999
self_fair_equal,820,62.18,26.753363320890923,0.9,0.6218,0.8050882352941177,0.6790082539682539,0.6218
