method,number,mean_reward,std_reward,agreement_rate,ratio_self_mean,ratio_welfare_mean,ratio_nash_mean,ratio_rcoop_mean
base,0,49.925,32.5670589303103,0.7857142857142857,0.49925,0.702421207993687,0.5847390110871485,0.49925
self_only,560,54.88928571428571,35.027146020536435,0.7982142857142858,0.5488928571428572,0.722748807564984,0.5814053505087619,0.5488928571428572
fair_only,560,54.96982142857143,30.751048820257704,0.8964285714285715,0.5496982142857143,0.807886535313426,0.663798870102418,0.5496982142857143
all_equal,620,60.31973214285714,27.91229409819923,0.9267857142857143,0.6031973214285714,0.840437165565527,0.6922966296692715,0.6031973214285714
self_fair_equal,820,57.042946428571426,32.29551799179701,0.8375,0.5704294642857143,0.7569381173448401,0.6249550687126971,0.5704294642857143
